perf_metric_diff,feat
456.9213411859944,s__GGB9590_SGB15012
608.5334087149384,s__Eisenbergiella_tayi
841.6005451729246,s__GGB9614_SGB15049
949.3467684453957,s__Adlercreutzia_equolifaciens
399.7918634612643,s__Roseburia_lenta
935.496249402013,s__Segatella_sinensis
695.3886826289092,s__Coprobacter_secundus
1429.8379820033367,s__Alistipes_communis
2545.3239637367487,s__GGB51647_SGB4348
1681.7678515740001,s__Phocaeicola_dorei
2064.5816139588546,s__Roseburia_faecis
650.716048548822,s__GGB13489_SGB15224
1786.1707207800966,s__Odoribacter_splanchnicus
1394.6597249178471,s__Lachnospira_pectinoschiza
1415.5295145831694,s__Schaalia_odontolytica
909.0764739298301,s__Clostridiaceae_bacterium_Marseille_Q4143
2102.1708002108026,s__Blautia_caecimuris
762.4620303952015,s__Oscillospiraceae_bacterium_Marseille_Q3528
515.0618564612172,s__GGB34797_SGB14322
1499.0681482078412,s__Mediterraneibacter_faecis
1255.3335702732834,s__Enterocloster_bolteae
521.6696150300893,s__Clostridium_spiroforme
1078.5428161283885,s__Phocaeicola_plebeius
463.4483207746281,s__GGB3175_SGB4191
1344.0727600010823,s__Streptococcus_anginosus
460.33163355270256,s__GGB9708_SGB15233
714.3327751441894,s__Clostridium_sp_AF27_2AA
815.5591109223249,s__Colidextribacter_sp_210702_DFI_3_9
755.6727908133806,s__GGB9712_SGB15244
554.813566999194,s__GGB9707_SGB15229
946.4254366606436,s__Intestinimonas_butyriciproducens
2097.558541388375,s__Bacteroides_fragilis
527.9926288299013,s__GGB51441_SGB71759
1009.3650168034266,s__Phascolarctobacterium_succinatutens
542.4105225798548,s__GGB36331_SGB15121
3926.3681295205715,s__Veillonella_parvula
343.14136482619676,s__GGB9347_SGB14313
1864.1860742241092,s__GGB1495_SGB2071
827.6037186363016,s__Clostridium_sp_AF36_4
243.54764805883383,s__Jutongia_hominis
1082.0653000736263,s__Blautia_SGB4815
12174.832438504916,s__GGB9512_SGB14909
1728.115451843875,s__Alistipes_onderdonkii
9731.905297600868,s__Enterococcus_faecalis
448.5833456214489,s__Alistipes_sp_AF17_16
1076.8770279107428,s__Evtepia_gabavorous
1688.208289461949,s__Faecalibacillus_intestinalis
6044.59216438925,s__Bifidobacterium_longum
1124.762639964828,s__GGB3005_SGB3996
414.41271110596256,s__Holdemanella_biformis
1601.101962845752,s__TM7_phylum_sp_oral_taxon_352
3249.733980084575,s__Bifidobacterium_bifidum
825.5395976491183,s__Fusicatenibacter_sp_CLA_AA_H277
288.3121763983797,s__GGB9063_SGB13982
741.3950479814995,s__Phocaeicola_coprocola
575.1593747843264,s__GGB2998_SGB3988
1902.4394980105965,s__Neisseria_subflava
722.4580942294458,s__Faecalibacterium_sp_HTFF
1588.9077570835975,s__Intestinibacter_bartlettii
685.5362119477295,s__Blautia_producta
1010.3630802204686,s__Ruminococcus_callidus
613.0992381545351,s__Parabacteroides_goldsteinii
985.5092501939481,s__Bacteroides_cellulosilyticus
740.5763211309303,s__GGB9760_SGB15374
2412.632088768608,s__Streptococcus_sanguinis
581.5857166654614,s__Kineothrix_SGB4886
1280.0273871613763,s__Enterocloster_clostridioformis
3279.3597601468855,s__Bacteroides_thetaiotaomicron
666.7426357798839,s__GGB9708_SGB15234
1265.2039347169282,s__GGB9699_SGB15216
609.1748002237143,s__Turicibacter_bilis
712.4756952225309,s__Clostridium_sp_AM49_4BH
578.6928067473724,s__Clostridiaceae_unclassified_SGB4771
741.2315011141092,s__GGB9502_SGB14899
504.4738714623289,s__GGB13493_SGB15238
362.44090871272283,s__GGB2980_SGB3962
756.3696260462525,s__Lachnospiraceae_bacterium_AM48_27BH
693.8293428433034,s__Holdemania_filiformis
900.7108459240047,s__Oscillospiraceae_bacterium
1007.9636000671231,s__Vescimonas_SGB15087
3459.1495419317303,s__Ruminococcus_torques
791.3931334783349,s__GGB3619_SGB4894
740.5825169639746,s__GGB9758_SGB15368
475.96905133328346,s__GGB9667_SGB15164
474.1539740081185,s__GGB9640_SGB15115
652.4366530229069,s__GGB9627_SGB15081
963.8638058514109,s__bacterium_210917_DFI_7_65
2029.8790705891147,s__Coprococcus_comes
369.96542639019924,s__GGB9559_SGB14969
958.7060173878442,s__Clostridiaceae_unclassified_SGB15090
899.571700989168,s__GGB2653_SGB3574
1772.7679702068529,s__Bacteroides_xylanisolvens
595.1214448186009,s__GGB9453_SGB14844
494.6084520037238,s__Clostridium_saudiense
848.3126786153877,s__Faecalibacterium_sp_CLA_AA_H233
386.6338362782451,s__GGB9522_SGB14921
1047.0524493489768,s__Slackia_isoflavoniconvertens
1630.3657925868338,s__GGB9621_SGB15073
1237.8980797029262,s__GGB9715_SGB15265
645.0785742474221,s__GGB9531_SGB14932
531.4609358175318,s__Lawsonibacter_SGB15145
541.5955923648787,s__GGB45432_SGB63101
896.0849701526645,s__GGB9730_SGB15291
1459.833176307947,s__Eubacterium_ventriosum
1069.068539571702,s__Faecalicatena_fissicatena
1557.6959564975496,s__Gemella_sanguinis
7643.146708183212,s__Rothia_mucilaginosa
845.3730451941317,s__Enterocloster_aldenensis
5277.8401978846,s__Actinomyces_oris
413.0396218568958,s__Ruminococcus_SGB4421
596.2629897941927,s__Bacteroides_intestinalis
903.8150328924816,s__Lactococcus_lactis
1264.342152091428,s__Eubacterium_ramulus
2387.3332067741494,s__Vescimonas_coprocola
3006.5143730165064,s__Alistipes_putredinis
602.4622361181265,s__Butyricimonas_paravirosa
1248.375448016376,s__Phascolarctobacterium_faecium
2139.732080880542,s__Lancefieldella_parvula
319.6265320568132,s__GGB9237_SGB14179
2049.4876940092745,s__Fusicatenibacter_saccharivorans
1053.5326179945966,s__Mediterraneibacter_glycyrrhizinilyticus
2558.05908615928,s__Ruminococcus_bromii
2518.926881783858,s__Candidatus_Cibionibacter_quicibialis
617.8614641472703,s__GGB9616_SGB15051
1805.3123613937328,s__Alistipes_shahii
873.6234611648937,s__Anaeromassilibacillus_senegalensis
391.93694107060537,s__GGB4552_SGB6276
434.7583780678884,s__Eubacterium_sp_AF16_48
1169.958416447793,s__Hungatella_hathewayi
7370.345832197488,s__Veillonella_dispar
967.9781100071134,s__Oscillibacter_sp_MSJ_31
3164.5507403118836,s__Eubacterium_rectale
9719.607266969939,s__Cutibacterium_acnes
987.4486208600812,s__GGB9642_SGB15119
1817.5007541882687,s__Blautia_massiliensis
622.7965778635229,s__Clostridium_sp_1001270J_160509_D11
869.5136565241842,s__Alistipes_indistinctus
277.6130791357225,s__GGB9608_SGB15041
533.38251891545406,s__GGB2848_SGB3813
814.0021561182306,s__Senegalimassilia_anaerobia
838.6145463830883,s__Blautia_luti
818.4168931192489,s__GGB9719_SGB15272
3705.135027411479,s__Streptococcus_parasanguinis
748.4852114899802,s__GGB3256_SGB4303
740.5827160036775,s__Clostridium_SGB6179
536.259798784171,s__GGB9602_SGB15031
1828.621880868106,s__Bilophila_wadsworthia
826.244630841704,s__GGB9365_SGB14341
1058.1590695231891,s__Phocaeicola_massiliensis
1121.9852734635651,s__Hydrogenoanaerobacterium_saccharovorans
427.26810480756876,s__GGB9619_SGB15067
1337.7697074259117,s__Paraprevotella_clara
1198.4883319207784,s__Clostridiales_bacterium_KLE1615
1157.0944742974916,s__GGB9616_SGB15052
519.3164432975807,s__Monoglobus_pectinilyticus
1594.790794665376,s__Romboutsia_timonensis
1708.8360770606305,s__Roseburia_inulinivorans
806.8461819078442,s__Clostridiaceae_bacterium_Marseille_Q4145
3691.6886903320374,s__Faecalibacterium_prausnitzii
950.203654791832,s__GGB52130_SGB14966
487.3464349073168,s__GGB33586_SGB53517
3765.315518519937,s__Streptococcus_mitis
1485.7975392091125,s__Oliverpabstia_intestinalis
2057.3730798805814,s__Agathobaculum_butyriciproducens
1816.6528748495775,s__Oscillibacter_valericigenes
1183.448917659621,s__Dorea_sp_AF36_15AT
638.5208101935928,s__Guopingia_tenuis
769.9625983208595,s__Lachnospiraceae_bacterium_CLA_AA_H215
1116.5360696179114,s__GGB9747_SGB15356
1441.2734361813657,s__Blautia_sp_MCC283
2231.6477267585137,s__Bacteroides_stercoris
4185.09580277924,s__Bacteroides_uniformis
880.2921439284167,s__Bifidobacterium_dentium
932.0577355435854,s__Simiaoa_sunii
778.9790417617035,s__Butyricimonas_faecihominis
636.3992332749916,s__Wujia_chipingensis
4106.59660184498,s__Streptococcus_salivarius
408.47584939334916,s__GGB9766_SGB15383
876.1091145204913,s__Alistipes_senegalensis
999.7747421178452,s__Eubacterium_siraeum
482.97598840367846,s__Blautia_stercoris
2155.890597727308,s__Eggerthella_lenta
2067.3058451758216,s__Actinomyces_sp_ph3
488.5365834961948,s__Mediterraneibacter_sp_NSJ_151
1060.5915844782046,s__Lachnospiraceae_bacterium
690.3066195703963,s__Clostridium_SGB4909
427.09617914356693,s__GGB9602_SGB15028
1042.295764694012,s__Parasutterella_excrementihominis
541.5511209240767,s__Enterocloster_asparagiformis
1552.936545900958,s__Bacteroides_caccae
2908.6164945913447,s__Parabacteroides_distasonis
623.7297983761853,s__GGB33469_SGB15236
1134.911246926179,s__Lachnospiraceae_bacterium_CLA_AA_H244
403.9707069528182,s__GGB9635_SGB15103
4379.932704851185,s__Ruminococcus_gnavus
1588.7918035459259,s__Bifidobacterium_adolescentis
866.6187967323625,s__Sellimonas_intestinalis
1201.137854536578,s__Anaerobutyricum_soehngenii
1651.229359632677,s__Veillonella_rogosae
4150.05434431977,s__Streptococcus_vestibularis
2690.8107286990717,s__Granulicatella_SGB8255
1992.3856949926694,s__Streptococcus_australis
1470.001127032494,s__Faecalimonas_umbilicata
577.7018607138854,s__GGB3740_SGB5077
497.9545282210191,s__GGB9509_SGB14906
2860.98208772852,s__Ruminococcus_sp_AF13_28
357.4374664857672,s__Eubacterium_sp_AF34_35BH
405.9474052236337,s__GGB9636_SGB15107
664.4420492952514,s__Eisenbergiella_massiliensis
1697.742971144368,s__Flavonifractor_plautii
929.9164062015803,s__Ruminococcus_lactaris
1570.3830389744617,s__Lawsonibacter_asaccharolyticus
1309.337031381046,s__Lacrimispora_amygdalina
2454.059818760926,s__Dorea_longicatena
394.1969955314215,s__GGB3612_SGB4882
971.09705616304,s__Lachnospira_sp_NSJ_43
562.918356684642,s__GGB4684_SGB6478
3872.2879732912206,s__Klebsiella_pneumoniae
467.5186106402579,s__Intestinimonas_massiliensis
549.6364683235944,s__Oscillospiraceae_unclassified_SGB15256
270.1830814792858,s__GGB2998_SGB3989
557.2805079532035,s__Desulfovibrio_piger
303.6683353431754,s__Negativibacillus_massiliensis
538.0987830900445,s__GGB2983_SGB3965
1439.3212665765402,s__Clostridiales_bacterium
865.7969203939894,s__Bacteroides_eggerthii
1882.3068402169365,s__Roseburia_sp_AF02_12
480.3908423919047,s__GGB13404_SGB14252
5535.254095876146,s__Veillonella_atypica
374.39369358272637,s__GGB3321_SGB4394
894.6278824798433,s__Wansuia_hejianensis
4334.110229388394,s__Enterocloster_hominis
1722.1583804273137,s__Fusobacterium_nucleatum
1565.3893934278583,s__Barnesiella_intestinihominis
584.7170965717828,s__Zhenpiania_hominis
2652.7590069115763,s__Anaerobutyricum_hallii
1279.6112285034128,s__Ellagibacter_isourolithinifaciens
1318.8775910514232,s__Roseburia_hominis
806.6848861180529,s__Clostridium_sp_AM33_3
3688.3684522059434,s__Streptococcus_thermophilus
2338.3873233217055,s__Allisonella_histaminiformans
2118.0424344069606,s__Gemmiger_formicilis
1103.6741535277692,s__Coprococcus_catus
2748.6349843422886,s__Clostridium_innocuum
511.44456534530406,s__Anaerotignum_sp_MSJ_24
891.9459602468716,s__Coprobacter_fastidiosus
762.5292345517175,s__Prevotella_stercorea
545.7433899540713,s__Clostridium_sp_AF12_28
1490.2701304504285,s__Actinomyces_sp_ICM47
1128.3020887532582,s__Anaerotignum_faecicola
464.111713036004,s__GGB9767_SGB15385
2542.8671404928796,s__Roseburia_intestinalis
2639.412318106217,s__GGB3304_SGB4367
1292.5697184873793,s__Holdemanella_porci
639.4786270392922,s__GGB9534_SGB14937
542.0707775336299,s__Clostridium_SGB6173
2542.655201226088,s__Blautia_faecis
1358.3974172182277,s__Parasutterella_SGB9260
556.6846377134434,s__Gordonibacter_pamelaeae
1296.76705775063,s__Ruminococcus_bicirculans
823.7645300538886,s__Butyricimonas_virosa
1071.3587814047562,s__Clostridium_scindens
899.5764420232534,s__Bacteroides_nordii
404.6279404725656,s__GGB9345_SGB14311
1488.5130063952565,s__Dorea_formicigenerans
876.8812845166508,s__Clostridium_symbiosum
2149.7141253138752,s__Collinsella_aerofaciens
3369.829625642357,s__Oscillospiraceae_bacterium_CLA_AA_H250
283.9084331501434,s__GGB9524_SGB14924
1134.2925623659185,s__Blautia_glucerasea
2108.224805372331,s__Anaerostipes_hadrus
6373.536548051834,s__Escherichia_coli
1179.1098349679116,s__Bifidobacterium_pseudocatenulatum
553.7679645469126,s__GGB4456_SGB6141
396.82409406543616,s__GGB9790_SGB15413
2572.628957774365,s__Dysosmobacter_welbionis
1644.3618778968978,s__Clostridium_sp_AF20_17LB
440.2835638756732,s__Blautia_sp_OF03_15BH
1689.7096076918808,s__Parabacteroides_merdae
369.5996291559544,s__GGB4585_SGB6340
912.8421700390339,s__Coprococcus_eutactus
2976.0965409828364,s__Blautia_wexlerae
1607.3672642651559,s__Clostridiaceae_bacterium
316.5129116148529,s__GGB9296_SGB14253
1392.394028291051,s__Oscillibacter_sp_ER4
560.3196589983979,s__GGB47687_SGB2286
686.8749603468491,s__GGB9635_SGB15106
1681.4736034941495,s__Brotolimicola_acetigignens
3417.188522864873,s__Ruthenibacterium_lactatiformans
3069.86521071347,s__Phocaeicola_vulgatus
934.347668810307,s__Eubacteriaceae_bacterium
1375.4941826572385,s__Akkermansia_muciniphila
601.5420470378427,s__Faecalicatena_contorta
3440.1879896526575,s__Streptococcus_oralis
3039.8430005837326,s__Lachnospira_eligens
248.6829296059515,s__GGB9293_SGB14250
4460.241923533517,s__Haemophilus_parainfluenzae
1769.3021091976175,s__Sutterella_wadsworthensis
622.3220163939237,s__Clostridiaceae_bacterium_Marseille_Q4149
776.689481067366,s__Enterocloster_citroniae
1877.2661245898557,s__Segatella_copri
379.84065809650593,s__Intestinimonas_sp_MSJ_38
1043.9574719960278,s__Mogibacterium_diversum
530.6062082741303,s__GGB9342_SGB14306
824.0660319000161,s__Methanobrevibacter_smithii
862.1667757879594,s__Bacteroides_clarus
425.6153684398157,s__GGB9715_SGB15267
1978.0369856932862,s__Alistipes_ihumii
895.4715057773853,s__Phocea_massiliensis
1076.1231851899372,s__GGB3109_SGB4121
326.5317868719621,s__GGB3478_SGB4643
527.7519595005302,s__Faecalibacillus_faecis
347.908889109317,s__Blautia_faecicola
427.28757696298817,s__Dialister_hominis
464.6792866342523,s__GGB3345_SGB4425
1457.6364953239806,s__Clostridium_sp_AM22_11AC
810.9871993091775,s__Bacteroides_finegoldii
511.81764459374017,s__GGB3277_SGB4327
2787.7678840902317,s__Bacteroides_ovatus
480.9428254208786,s__GGB9770_SGB15390
1175.9553962382263,s__Faecalibacterium_SGB15346
2041.7065534548394,s__Dialister_invisus
818.4276577866428,s__GGB3730_SGB5060
1245.6826356936901,s__Clostridium_SGB4750
2579.9740933906783,s__Clostridium_fessum
519.0307886005509,s__GGB2982_SGB3964
771.5549795704046,s__Gemmiger_SGB15295
800.702397420387,s__GGB9760_SGB15373
752.2381211544956,s__Megamonas_funiformis
683.6871222754294,s__Anaerotruncus_colihominis
1342.422654401176,s__Clostridiaceae_bacterium_AF18_31LB
544.4776464301664,s__Pseudoflavonifractor_capillosus
1612.8681129767633,s__GGB9715_SGB15260
634.3776378392139,s__Enterocloster_lavalensis
865.9791757461616,s__GGB3653_SGB4964
3266.6017151598185,s__Rothia_SGB49305
266.90249588871797,s__GGB3740_SGB5076
1807.4077616891987,s__Blautia_obeum
666.2329272832046,s__Mediterraneibacter_butyricigenes
309.91443093413415,s__GGB3480_SGB4648
1436.1663073686996,s__Tyzzerella_nexilis
829.5927499140148,s__Clostridia_bacterium_UC5_1_1D1
5010.71133975471,s__Erysipelatoclostridium_ramosum
818.7319459269163,s__Bacteroides_faecis
600.4023424225284,s__GGB9634_SGB15093
1632.4877032493766,s__Clostridium_leptum
879.9390889205373,s__Lentihominibacter_faecis
3646.558198501683,s__Alistipes_dispar
1958.2303908766487,s__Alistipes_finegoldii
515.1397037878171,s__Bacteroides_salyersiae
760.3020033982683,s__Lachnospiraceae_bacterium_OM04_12BH
3159.6799982887687,s__Streptococcus_gordonii
774.0021196590105,s__GGB9759_SGB15370
2521.4316248260357,s__Clostridium_sp_AT4
